Region,Country,Indicator,Input,Date
Americas,Antigua and Barbuda,Ratification of the UN Convention against Torture,1.0,1993-01-01
Americas,Argentina,Ratification of the UN Convention against Torture,1.0,1986-01-01
Americas,Bahamas,Ratification of the UN Convention against Torture,1.0,2018-01-01
Americas,Barbados,Ratification of the UN Convention against Torture,0.0,
Americas,Belize,Ratification of the UN Convention against Torture,1.0,1986-01-01
Americas,Bolivia,Ratification of the UN Convention against Torture,1.0,1999-01-01
Americas,Brazil,Ratification of the UN Convention against Torture,1.0,1989-01-01
Americas,Canada,Ratification of the UN Convention against Torture,1.0,1987-01-01
Americas,Chile,Ratification of the UN Convention against Torture,1.0,1988-01-01
Americas,Colombia,Ratification of the UN Convention against Torture,1.0,1987-01-01
Americas,Costa Rica,Ratification of the UN Convention against Torture,1.0,1993-01-01
Americas,Cuba,Ratification of the UN Convention against Torture,1.0,1995-01-01
Americas,Dominica,Ratification of the UN Convention against Torture,0.0,
Americas,Dominican Republic,Ratification of the UN Convention against Torture,1.0,2012-01-01
Americas,Ecuador,Ratification of the UN Convention against Torture,1.0,1988-01-01
Americas,El Salvador,Ratification of the UN Convention against Torture,1.0,1996-01-01
Americas,Grenada,Ratification of the UN Convention against Torture,0.0,
Americas,Guatemala,Ratification of the UN Convention against Torture,1.0,1990-01-01
Americas,Guyana,Ratification of the UN Convention against Torture,1.0,1988-01-01
Americas,Haiti,Ratification of the UN Convention against Torture,0.0,
Americas,Honduras,Ratification of the UN Convention against Torture,1.0,1996-01-01
Americas,Jamaica,Ratification of the UN Convention against Torture,0.0,
Americas,Mexico,Ratification of the UN Convention against Torture,1.0,1986-01-01
Americas,Nicaragua,Ratification of the UN Convention against Torture,1.0,2005-01-01
Americas,Panama,Ratification of the UN Convention against Torture,1.0,1987-01-01
Americas,Paraguay,Ratification of the UN Convention against Torture,1.0,1990-01-01
Americas,Peru,Ratification of the UN Convention against Torture,1.0,1988-01-01
Americas,Saint Kitts and Nevis,Ratification of the UN Convention against Torture,1.0,2020-01-01
Americas,Saint Lucia,Ratification of the UN Convention against Torture,0.0,
Americas,Saint Vincent and the Grenadines,Ratification of the UN Convention against Torture,1.0,2001-01-01
Americas,Suriname,Ratification of the UN Convention against Torture,1.0,2021-01-01
Americas,Trinidad and Tobago,Ratification of the UN Convention against Torture,0.0,
Americas,United States,Ratification of the UN Convention against Torture,1.0,1994-01-01
Americas,Uruguay,Ratification of the UN Convention against Torture,1.0,1986-01-01
Americas,Venezuela,Ratification of the UN Convention against Torture,1.0,1991-01-01
Africa,Algeria,Ratification of the UN Convention against Torture,1.0,1989-01-01
Africa,Angola,Ratification of the UN Convention against Torture,1.0,2019-01-01
Africa,Benin,Ratification of the UN Convention against Torture,1.0,1992-01-01
Africa,Botswana,Ratification of the UN Convention against Torture,1.0,2000-01-01
Africa,Burkina Faso,Ratification of the UN Convention against Torture,1.0,1999-01-01
Africa,Burundi,Ratification of the UN Convention against Torture,1.0,1993-01-01
Africa,Cabo Verde,Ratification of the UN Convention against Torture,1.0,1992-01-01
Africa,Cameroon,Ratification of the UN Convention against Torture,1.0,1986-01-01
Africa,Central African Republic,Ratification of the UN Convention against Torture,1.0,2016-01-01
Africa,Chad,Ratification of the UN Convention against Torture,1.0,1995-01-01
Africa,Comoros,Ratification of the UN Convention against Torture,1.0,2017-01-01
Africa,Congo,Ratification of the UN Convention against Torture,1.0,2003-01-01
Africa,Cote d'Ivoire,Ratification of the UN Convention against Torture,1.0,1995-01-01
Africa,Democratic Republic of the Congo,Ratification of the UN Convention against Torture,1.0,1996-01-01
Africa,Djibouti,Ratification of the UN Convention against Torture,1.0,2002-01-01
Africa,Equatorial Guinea,Ratification of the UN Convention against Torture,1.0,2002-01-01
Africa,Eritrea,Ratification of the UN Convention against Torture,1.0,2014-01-01
Africa,Ethiopia,Ratification of the UN Convention against Torture,1.0,1994-01-01
Africa,Gabon,Ratification of the UN Convention against Torture,1.0,2000-01-01
Africa,Gambia,Ratification of the UN Convention against Torture,1.0,2018-01-01
Africa,Ghana,Ratification of the UN Convention against Torture,1.0,2000-01-01
Africa,Guinea,Ratification of the UN Convention against Torture,1.0,1989-01-01
Africa,Guinea-Bissau,Ratification of the UN Convention against Torture,1.0,2013-01-01
Africa,Kenya,Ratification of the UN Convention against Torture,1.0,1997-01-01
Africa,Lesotho,Ratification of the UN Convention against Torture,1.0,2001-01-01
Africa,Liberia,Ratification of the UN Convention against Torture,1.0,2004-01-01
Africa,Madagascar,Ratification of the UN Convention against Torture,1.0,2005-01-01
Africa,Malawi,Ratification of the UN Convention against Torture,1.0,1996-01-01
Africa,Mali,Ratification of the UN Convention against Torture,1.0,1999-01-01
Africa,Mauritania,Ratification of the UN Convention against Torture,1.0,2004-01-01
Africa,Mozambique,Ratification of the UN Convention against Torture,1.0,1999-01-01
Africa,Namibia,Ratification of the UN Convention against Torture,1.0,1994-01-01
Africa,Niger,Ratification of the UN Convention against Torture,1.0,1998-01-01
Africa,Nigeria,Ratification of the UN Convention against Torture,1.0,2001-01-01
Africa,Rwanda,Ratification of the UN Convention against Torture,1.0,2008-01-01
Africa,Sao Tome and Principe,Ratification of the UN Convention against Torture,1.0,2017-01-01
Africa,Senegal,Ratification of the UN Convention against Torture,1.0,1986-01-01
Africa,Seychelles,Ratification of the UN Convention against Torture,1.0,1992-01-01
Africa,Sierra Leone,Ratification of the UN Convention against Torture,1.0,2001-01-01
Africa,Somalia,Ratification of the UN Convention against Torture,1.0,1990-01-01
Africa,South Sudan,Ratification of the UN Convention against Torture,1.0,2015-01-01
Africa,Sudan,Ratification of the UN Convention against Torture,1.0,2021-01-01
Africa,Swaziland,Ratification of the UN Convention against Torture,1.0,2004-01-01
Africa,Uganda,Ratification of the UN Convention against Torture,1.0,1986-01-01
Africa,United Republic of Tanzania,Ratification of the UN Convention against Torture,0.0,
Africa,Zambia,Ratification of the UN Convention against Torture,1.0,1998-01-01
Africa,Zimbabwe,Ratification of the UN Convention against Torture,0.0,
Africa,Mauritius,Ratification of the UN Convention against Torture,1.0,1992-01-01
Africa,South Africa,Ratification of the UN Convention against Torture,1.0,2001-01-01
Africa,Togo,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,Albania,Ratification of the UN Convention against Torture,1.0,1994-01-01
Europe,Andorra,Ratification of the UN Convention against Torture,1.0,2006-01-01
Europe,Austria,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,Armenia,Ratification of the UN Convention against Torture,1.0,1993-01-01
Europe,Belarus,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,Belgium,Ratification of the UN Convention against Torture,1.0,1999-01-01
Europe,Bulgaria,Ratification of the UN Convention against Torture,1.0,1986-01-01
Europe,Croatia,Ratification of the UN Convention against Torture,1.0,1992-01-01
Europe,Cyprus,Ratification of the UN Convention against Torture,1.0,1991-01-01
Europe,France,Ratification of the UN Convention against Torture,1.0,1986-01-01
Europe,Czech Republic,Ratification of the UN Convention against Torture,1.0,1993-01-01
Europe,Denmark,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,Estonia,Ratification of the UN Convention against Torture,1.0,1991-01-01
Europe,Finland,Ratification of the UN Convention against Torture,1.0,1989-01-01
Europe,Georgia,Ratification of the UN Convention against Torture,1.0,1994-01-01
Europe,Germany,Ratification of the UN Convention against Torture,1.0,1990-01-01
Europe,Greece,Ratification of the UN Convention against Torture,1.0,1988-01-01
Europe,Holy See,Ratification of the UN Convention against Torture,1.0,2002-01-01
Europe,Hungary,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,Iceland,Ratification of the UN Convention against Torture,1.0,1996-01-01
Europe,Italy,Ratification of the UN Convention against Torture,1.0,1989-01-01
Europe,Ireland,Ratification of the UN Convention against Torture,1.0,2002-01-01
Europe,Latvia,Ratification of the UN Convention against Torture,1.0,1992-01-01
Europe,Liechtenstein,Ratification of the UN Convention against Torture,1.0,1990-01-01
Europe,Lithuania,Ratification of the UN Convention against Torture,1.0,1996-01-01
Europe,Luxembourg,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,North Macedonia,Ratification of the UN Convention against Torture,1.0,1994-01-01
Europe,Romania,Ratification of the UN Convention against Torture,1.0,1990-01-01
Europe,San Marino,Ratification of the UN Convention against Torture,1.0,2006-01-01
Europe,Serbia,Ratification of the UN Convention against Torture,1.0,2001-01-01
Europe,Slovakia,Ratification of the UN Convention against Torture,1.0,1993-01-01
Europe,Slovenia,Ratification of the UN Convention against Torture,1.0,1993-01-01
Europe,Spain,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,Sweden,Ratification of the UN Convention against Torture,1.0,1986-01-01
Europe,Switzerland,Ratification of the UN Convention against Torture,1.0,1986-01-01
Europe,United Kingdom,Ratification of the UN Convention against Torture,1.0,1988-01-01
Europe,Malta,Ratification of the UN Convention against Torture,1.0,1990-01-01
Europe,Monaco,Ratification of the UN Convention against Torture,1.0,1991-01-01
Europe,Montenegro,Ratification of the UN Convention against Torture,1.0,2006-01-01
Europe,Netherlands,Ratification of the UN Convention against Torture,1.0,1988-01-01
Europe,Norway,Ratification of the UN Convention against Torture,1.0,1986-01-01
Europe,Poland,Ratification of the UN Convention against Torture,1.0,1989-01-01
Europe,Portugal,Ratification of the UN Convention against Torture,1.0,1989-01-01
Europe,Republic of Moldova,Ratification of the UN Convention against Torture,1.0,1995-01-01
Europe,Russia,Ratification of the UN Convention against Torture,1.0,1987-01-01
Europe,Turkey,Ratification of the UN Convention against Torture,1.0,1988-01-01
Europe,Ukraine,Ratification of the UN Convention against Torture,1.0,1987-01-01
Middle East,Bahrain,Ratification of the UN Convention against Torture,1.0,1998-01-01
Middle East,Egypt,Ratification of the UN Convention against Torture,1.0,1986-01-01
Middle East,Iran,Ratification of the UN Convention against Torture,0.0,
Middle East,Iraq,Ratification of the UN Convention against Torture,1.0,2011-01-01
Middle East,Israel,Ratification of the UN Convention against Torture,1.0,1991-01-01
Middle East,Jordan,Ratification of the UN Convention against Torture,1.0,1991-01-01
Middle East,Kuwait,Ratification of the UN Convention against Torture,1.0,1996-01-01
Middle East,Lebanon,Ratification of the UN Convention against Torture,1.0,2008-01-01
Middle East,Libya,Ratification of the UN Convention against Torture,1.0,1989-01-01
Middle East,Morocco,Ratification of the UN Convention against Torture,1.0,1993-01-01
Middle East,State of Palestine,Ratification of the UN Convention against Torture,1.0,2014-01-01
Middle East,Oman,Ratification of the UN Convention against Torture,1.0,2020-01-01
Middle East,Qatar,Ratification of the UN Convention against Torture,1.0,2000-01-01
Middle East,Saudi Arabia,Ratification of the UN Convention against Torture,1.0,1997-01-01
Middle East,Syria ,Ratification of the UN Convention against Torture,1.0,2004-01-01
Middle East,Tunisia,Ratification of the UN Convention against Torture,1.0,1988-01-01
Middle East,United Arab Emirates,Ratification of the UN Convention against Torture,1.0,2012-01-01
Middle East,Yemen,Ratification of the UN Convention against Torture,1.0,1991-01-01
Asia-Pacific,Afghanistan,Ratification of the UN Convention against Torture,1.0,1987-01-01
Asia-Pacific,Australia,Ratification of the UN Convention against Torture,1.0,1989-01-01
Asia-Pacific,Azerbaijan,Ratification of the UN Convention against Torture,1.0,1996-01-01
Asia-Pacific,Bangladesh,Ratification of the UN Convention against Torture,1.0,1998-01-01
Asia-Pacific,Bhutan,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Brunei Darussalam,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Cambodia,Ratification of the UN Convention against Torture,1.0,1992-01-01
Asia-Pacific,China,Ratification of the UN Convention against Torture,1.0,1988-01-01
Asia-Pacific,Cook Islands,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Fiji,Ratification of the UN Convention against Torture,1.0,2016-01-01
Asia-Pacific,Democratic People's Republic of Korea,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,India,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Indonesia,Ratification of the UN Convention against Torture,1.0,1998-01-01
Asia-Pacific,Japan,Ratification of the UN Convention against Torture,1.0,1999-01-01
Asia-Pacific,Kazakhstan,Ratification of the UN Convention against Torture,1.0,1998-01-01
Asia-Pacific,Kiribati,Ratification of the UN Convention against Torture,1.0,2019-01-01
Asia-Pacific,Kyrgyzstan,Ratification of the UN Convention against Torture,1.0,1997-01-01
Asia-Pacific,Lao People's Democratic Republic,Ratification of the UN Convention against Torture,1.0,2012-01-01
Asia-Pacific,Marshall Islands,Ratification of the UN Convention against Torture,1.0,2018-01-01
Asia-Pacific,Malaysia,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Maldives,Ratification of the UN Convention against Torture,1.0,2004-01-01
Asia-Pacific,Micronesia,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Mongolia,Ratification of the UN Convention against Torture,1.0,2002-01-01
Asia-Pacific,Myanmar,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Nauru,Ratification of the UN Convention against Torture,1.0,2012-01-01
Asia-Pacific,Nepal,Ratification of the UN Convention against Torture,1.0,1991-01-01
Asia-Pacific,New Zealand,Ratification of the UN Convention against Torture,1.0,1989-01-01
Asia-Pacific,Niue,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Palau,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Papua New Guinea,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Pakistan,Ratification of the UN Convention against Torture,1.0,2010-01-01
Asia-Pacific,Philippines,Ratification of the UN Convention against Torture,1.0,1986-01-01
Asia-Pacific,Republic of Korea,Ratification of the UN Convention against Torture,1.0,1995-01-01
Asia-Pacific,Samoa,Ratification of the UN Convention against Torture,1.0,2019-01-01
Asia-Pacific,Solomon Islands,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Singapore,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Sri Lanka,Ratification of the UN Convention against Torture,1.0,1994-01-01
Asia-Pacific,Tajikistan,Ratification of the UN Convention against Torture,1.0,1995-01-01
Asia-Pacific,Thailand,Ratification of the UN Convention against Torture,1.0,2007-01-01
Asia-Pacific,Timor-Leste,Ratification of the UN Convention against Torture,1.0,2003-01-01
Asia-Pacific,Tonga,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Turkmenistan,Ratification of the UN Convention against Torture,1.0,1999-01-01
Asia-Pacific,Tuvalu,Ratification of the UN Convention against Torture,0.0,
Asia-Pacific,Uzbekistan,Ratification of the UN Convention against Torture,1.0,1995-01-01
Asia-Pacific,Vanuatu,Ratification of the UN Convention against Torture,1.0,2011-01-01
Asia-Pacific,Viet Nam,Ratification of the UN Convention against Torture,1.0,2015-01-01
Americas,Antigua and Barbuda,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Argentina,Ratification of Optional Protocol (OPCAT),1.0,2004-01-01
Americas,Bahamas,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Barbados,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Belize,Ratification of Optional Protocol (OPCAT),1.0,2015-01-01
Americas,Bolivia,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Americas,Brazil,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Americas,Canada,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Chile,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Americas,Colombia,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Costa Rica,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Americas,Cuba,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Dominica,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Dominican Republic,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Ecuador,Ratification of Optional Protocol (OPCAT),1.0,2010-01-01
Americas,El Salvador,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Grenada,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Guatemala,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Americas,Guyana,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Haiti,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Honduras,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Americas,Jamaica,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Mexico,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Americas,Nicaragua,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Americas,Panama,Ratification of Optional Protocol (OPCAT),1.0,2011-01-01
Americas,Paraguay,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Americas,Peru,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Americas,Saint Kitts and Nevis,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Saint Lucia,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Saint Vincent and the Grenadines,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Suriname,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Trinidad and Tobago,Ratification of Optional Protocol (OPCAT),0.0,
Americas,United States,Ratification of Optional Protocol (OPCAT),0.0,
Americas,Uruguay,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Americas,Venezuela,Ratification of Optional Protocol (OPCAT),1.0,2011-01-01
Africa,Algeria,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Angola,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Benin,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Africa,Botswana,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Burkina Faso,Ratification of Optional Protocol (OPCAT),1.0,2010-01-01
Africa,Burundi,Ratification of Optional Protocol (OPCAT),1.0,2013-01-01
Africa,Cabo Verde,Ratification of Optional Protocol (OPCAT),1.0,2016-01-01
Africa,Cameroon,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Central African Republic,Ratification of Optional Protocol (OPCAT),1.0,2016-01-01
Africa,Chad,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Comoros,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Congo,Ratification of Optional Protocol (OPCAT),1.0,2024-01-01
